text,group,sentiment
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",movies,positive
apparently reassembled from the cutting-room floor of any given daytime soap .,movies,negative
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",movies,negative
the entire movie is filled with deja vu moments .,movies,neutral
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",movies,positive
"um , no. .",movies,neutral
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,movies,positive
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,movies,positive
a fan film that for the uninitiated plays better on video with the sound turned down .,movies,negative
"béart and berling are both superb , while huppert ... is magnificent .",movies,positive
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",movies,negative
the film is strictly routine .,movies,negative
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,movies,positive
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .,movies,negative
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",movies,negative
"this is a stunning film , a one-of-a-kind tour de force .",movies,positive
"may be more genial than ingenious , but it gets the job done .",movies,positive
"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .",movies,positive
"if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .",movies,negative
"as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",movies,positive
final verdict : you 've seen it all before .,movies,negative
"blue crush follows the formula , but throws in too many conflicts to keep the story compelling .",movies,negative
you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .,movies,negative
"a slick , engrossing melodrama .",movies,positive
a wretched movie that reduces the second world war to one man 's quest to find an old flame .,movies,negative
"eccentric enough to stave off doldrums , caruso 's self-conscious debut is also eminently forgettable .",movies,neutral
"will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic .",movies,negative
one of -lrb- jaglom 's -rrb- better efforts -- a wry and sometime bitter movie about love .,movies,neutral
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .,movies,negative
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,movies,positive
"the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .",movies,positive
too bad .,movies,negative
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",movies,positive
gooding offers a desperately ingratiating performance .,movies,negative
"you end up simply admiring this bit or that , this performance or that .",movies,neutral
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .,movies,negative
"analyze that regurgitates and waters down many of the previous film 's successes , with a few new swings thrown in .",movies,neutral
"there 's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but kang tacks on three or four more endings .",movies,neutral
a fun ride .,movies,positive
"what with the incessant lounge music playing in the film 's background , you may mistake love liza for an adam sandler chanukah song .",movies,neutral
an edgy thriller that delivers a surprising punch .,movies,positive
` what 's the russian word for wow !? ',movies,positive
"you might say tykwer has done all that heaven allows , if you wanted to make as anti-kieslowski a pun as possible .",movies,neutral
"many shallower movies these days seem too long , but this one is egregiously short .",movies,neutral
otto-sallies has a real filmmaker 's eye .,movies,positive
lurid and less than lucid work .,movies,negative
a portrait of an artist .,movies,neutral
"once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .",movies,neutral
"with a confrontational stance , todd solondz takes aim on political correctness and suburban families .",movies,neutral
"many of the effective horror elements are dampened through familiarity , -lrb- yet -rrb- are worthwhile .",movies,neutral
with its parade of almost perpetually wasted characters ... margarita feels like a hazy high that takes too long to shake .,movies,negative
"i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay .",movies,negative
"overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .",movies,positive
you live the mood rather than savour the story .,movies,positive
the movie is so thoughtlessly assembled .,movies,positive
"here polanski looks back on those places he saw at childhood , and captures them by freeing them from artefact , and by showing them heartbreakingly drably .",movies,neutral
"some body is a shaky , uncertain film that nevertheless touches a few raw nerves .",movies,positive
"it 's a very sincere work , but it would be better as a diary or documentary .",movies,positive
"while american adobo has its heart -lrb- and its palate -rrb- in the right place , its brain is a little scattered -- ditsy , even .",movies,negative
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",movies,positive
and it 's a lousy one at that .,movies,negative
it 's not too fast and not too slow .,movies,positive
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",movies,positive
"it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .",movies,positive
compellingly watchable .,movies,positive
"despite some comic sparks , welcome to collinwood never catches fire .",movies,negative
he may have meant the internet short saving ryan 's privates .,movies,neutral
"though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .",movies,positive
"not only does spider-man deliver , but i suspect it might deliver again and again .",movies,positive
it 's worth taking the kids to .,movies,positive
the movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .,movies,neutral
"without shakespeare 's eloquent language , the update is dreary and sluggish .",movies,negative
"dense , exhilarating documentary .",movies,positive
"... feels as if -lrb- there 's -rrb- a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",movies,negative
poignant if familiar story of a young person suspended between two cultures .,movies,positive
"a perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie .",movies,neutral
"methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .",movies,positive
this is amusing for about three minutes .,movies,neutral
"though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .",movies,positive
superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,movies,positive
a metaphor for a modern-day urban china searching for its identity .,movies,positive
"it 's a square , sentimental drama that satisfies , as comfort food often can .",movies,positive
"the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting .",movies,positive
"admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .",movies,positive
"not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of ` eh . '",movies,negative
an ugly-duckling tale so hideously and clumsily told it feels accidental .,movies,negative
becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .,movies,negative
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",movies,neutral
could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?,movies,positive
"this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .",movies,positive
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",movies,negative
cho 's timing is priceless .,movies,positive
criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama .,movies,positive
there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,movies,positive
what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .,movies,positive
greengrass -lrb- working from don mullan 's script -rrb- forgoes the larger socio-political picture of the situation in northern ireland in favour of an approach that throws one in the pulsating thick of a truly frightening situation .,movies,neutral
nicholson 's understated performance is wonderful .,movies,positive
"the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .",movies,positive
"it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue .",movies,negative
"jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .",movies,negative
"jackson tries to keep the plates spinning as best he can , but all the bouncing back and forth ca n't help but become a bit tedious -- even with the breathtaking landscapes and villainous varmints there to distract you from the ricocheting .",movies,neutral
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",movies,negative
over and over again .,movies,negative
nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure .,movies,positive
"this bond film goes off the beaten path , not necessarily for the better .",movies,negative
... its solemn pretension prevents us from sharing the awe in which it holds itself .,movies,negative
the drama discloses almost nothing .,movies,negative
"a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .",movies,negative
isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries .,movies,positive
but ` why ? ',movies,neutral
"like its parade of predecessors , this halloween is a gory slash-fest .",movies,positive
perhaps the best sports movie i 've ever seen .,movies,positive
this pathetic junk is barely an hour long .,movies,negative
"ou 've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane .",movies,positive
"this is a gorgeous film - vivid with color , music and life .",movies,positive
playing a role of almost bergmanesque intensity ... bisset is both convincing and radiant .,movies,positive
the trappings of i spy are so familiar you might as well be watching a rerun .,movies,negative
it treats ana 's journey with honesty that is tragically rare in the depiction of young women in film .,movies,positive
