"text","sentiment","group"
"tweets Pretty awesome. Jonathan Kozol sat in on my session at the @user conference!","positive","tweets"
"tweets Had a lovely last day of the hols with the offspring. Have seen far too much Harry Potter and Thomas the TE. School tomorrow. Phew.","neutral","tweets"
"restaurants Chateau is one of the underrated clubs in Vegas. It's definitely worth ones while, especially if you love hip hop.\n\nThe drinks are fairly priced & the crowd is fun! We once went on a Wednesday & the tables were filled with older people (50/60+) but it was a Wednesday... & the music was great so we didn't really mind it.\n\nIf you go upstairs, the line for the elevator takes a couple of minutes, but the view is nice when you get up there.\n\nThe only down side is we were told my bf's cover would be X amount before a certain time & although we arrived before he was charged double. This was when we tried to get on the GL straight through the club rather than a promoter. We know better for next time.","positive","restaurants"
"tweets February 13th\u002c the day before and best buddy to valentines day\u002c Desperation Day","positive","tweets"
"movies 4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly .","positive","movies"
"restaurants My friends and I were in Phoenix for business trips for 3 nights (Tues-Friday). We booked via corporate rate at $125/night without tax but that was really it...real corporate rate (e.g nothing was included except free wifi). We asked about waterpark and it would cost us $40 per each entrance/person. Breakfast was also additional to the rate...etc. I stayed for a total of 3 nights for a net cost of around $450 (including tax).\n\nWhile the room was had was great (there was a separate living room from the bathroom) and the place was spacious, the place was a bit too far apart (e.g. if you don't have a car, good luck walking!). There was, however, no refrigerator in our room (except the mini bar which required a key to open). A swimming pool in our section was very small and didn't look that clean. At night, our room section was a bit deserted and dark, so I was slightly concerned that if someone were to enter the room without permission, I don't think the hotel people would know. Both my friend and I had our separate rooms, so we both just end up just shutting the blinds in our own rooms completely.\n\nOverall, the room was spacious and the decoration was ok. For the value though, you might be better off at Marriott or elsewhere.","neutral","restaurants"
"restaurants Bank of America was my first bank after switching from a credit union. I banked with them for a couple years. a few months after I turned 18 they told me in the branch that I was approved for a student credit card to be used for overdraft protection. I thought that was great bc I was still learning to balance a checkbook and hardly ever had more than $200 in my account at a time. I filled out all the paper work and the teller said it would be applied right away as a back up.\n\nWell, that didn't happen. I overdrafted several times thinking it would pull it from my card and ended up with almost $300 in overdraft fees. \n\nI went into the bank and they had no idea what I was talking about with that student credit card, and had no record of my paperwork or even saying that i would like them to open it.  \n\nshe then explained to me that my paper work have been misplaced. this is when i freaked out.\n\nTHEY MISPLACED my social, my address, name everything for anyone to be able to steal my identity. they have no record of ever having it and said i should be fine bc it was probably shredded if it was found. ya, not if a criminal found it! \n\nI then had to put a bunch of red flags on my social so that no one could do anything with my name or ss#. \n\nThey wouldn't waive any of the fees bc they didn't think it was their fault. I paid them off and switched banks and i will never bank with them for anything ever again.","negative","restaurants"
"restaurants I personally love the bubble tea that Lulu makes so I'm a frequent customer. But today's trip to Lulu's was disastrous.\n\nSo I came to get 2 mango smoothie bubble tea today. It was ridiculous that I ended up waiting 40 minutes just for 2 bubble for to go. And when I received my order, it was 2 strawberry--not 2 mango.\n\nI proceeded to tell the lady that she had my order wrong, but was told that she heard me say strawberry. Aside from the fact that mango and strawberry sounds nothing alike, she rudely insisted that I told her strawberry. I also did not appreciate the dirty attitude I was getting from her when I was trying to talk to her politely...\n\nSo after a while, it seems that my order was going to be fixed. But after waiting some more, I only received 1 mango and was given 1 strawberry despite telling her I ordered 2 mango, not 1 mango and 1 strawberry. This time, she was obviously being a b*tch asking, \""so are you going to take it the drinks or not?\""\n\nBased on my past experience with other people there, I might come back. But if I do, I absolutely refuse to have her take my order  again.","negative","restaurants"
"restaurants A friend and I came here for \""Mom's night out\"" and definitely took advantage of their delicious cocktails! I had the Shandy, which was so refreshing. We split the hummus plate, which was a bit small for what you get. Same thing with the kale salad. The bar and booths were squished so tight together, it was hard to maneuver around. I really enjoyed it because my friend and I stayed for 3 hours on a Saturday night and even though we each only ordered 2 drinks, an app and small entree at the end, the waiter was super cool and nice.","neutral","restaurants"
"restaurants Went in today to get my gizzard craving satisfied !!! This is the best place to get some gizzards, wings,catfish!! I had a perfect lunch!!!! Toney & his staff are the best!! I don't understand these other bad reviews of customer service. I encourage everyone to try something new there every time !!!!","positive","restaurants"
"tweets Keuchel strikes out the side in the 6th....only Josh Hamilton has failed to K against the lefty...Astros lead 5-0 #Astros #MLB","neutral","tweets"
"restaurants 2nd Trip here to catch the Bruins Game vs Detroit 4/26/2014 \n\nBrought the Wife and some other friends, and everyone had a GREAT time. One my friends brought their Kids and even the kids, loved checking out all the birds... Even the crazy one that BITES... \n\nBeers - Awesome\nFood -\nThe Smoked , Mushroom and Onion cheeseburger\n     Not sure if the Wife or her friend ordered, but it was well done. I would have chosen medium, but it was still delicious :-o\n\nPooch's Perch Pepperoni\n     Bread, Beer Bread dough,, OH MY,,, Awesome, The Sauce,, Awesome, and a Ton of cheese, and like gourmet pepperonis, or something,, This pizza was off the hook Delish.\n\nFood Price is a little High, but you ARE getting some great FOOD... Beer prices are average.\n\nWill be back most definitely","positive","restaurants"
"movies by not averting his eyes , solondz forces us to consider the unthinkable , the unacceptable , the unmentionable .","positive","movies"
"tweets @user @user as usual no. You can Skype with me this Saturday kot. Still in Milan bro.","neutral","tweets"
"tweets ""Log out no one in naruto is stronger then goku, the fuckery wlh","neutral","tweets"
"movies ... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence .","negative","movies"
"tweets Owasi  backs Yakub with a religious spin. It's  a disservice to Yakub. He has mitigating factors in favour.Religious spin may spoil his case","neutral","tweets"
"movies collapses after 30 minutes into a slap-happy series of adolescent violence .","negative","movies"
"restaurants I always seem to end up here in Montreal, and I love it.  At the dirty far end of Ste. Catherine st. is this gem of a punk rock irish dive bar that serves chinese food.  Bizarre awesome.  I always fid new friends here and get ito adventures.","positive","restaurants"
"tweets Big day coming up for! Word from cutoms and UPS is we will have our bouncy castle\u002c by tomorrow. i\u2019m praying their right. #ogoplay","positive","tweets"
"movies -lrb- a -rrb- smarter and much funnier version of the old police academy flicks .","positive","movies"
"restaurants Nice place and a good selection of beer. Female bartender was rude though. I know you guys can get busy but being nice about being in the way of your servers is a better approach than telling me \""you need to make room\"" and huffing off after I apologize is not good service.","neutral","restaurants"
"tweets A girl named Jordan just got crowned Miss USA on Sunday. It wasn't me in case you were wondering...","neutral","tweets"
"tweets 'The Announcement' may be the most emotional documentary I have ever seen. Magic Johnson is a hero and an icon.","neutral","tweets"
"tweets ""Every Thursday night game- the better QB has had HUGE games (Ryan, Rodgers, Luck, Manning). Brady should have a nice night tonight!""","positive","tweets"
"movies an emotionally and spiritually compelling journey seen through the right eyes , with the right actors and with the kind of visual flair that shows what great cinema can really do .","positive","movies"
"tweets @user do u know if the moto360 2nd gen will work with iOS devices??","neutral","tweets"
"movies strange , funny , twisted , brilliant and macabre .","positive","movies"
"movies a raunchy and frequently hilarious follow-up to the gifted korean american stand-up 's i 'm the one that i want .","positive","movies"
"restaurants Prompted by my recently purchased Groupon, I tried Savor Cafe.  I would have never known the restaurant was there and that the food would have been so good.  I had the shrimp and grits, a beer and an appetizer of pimento cheese and homemade potato chips.  The flavors were excellent, portions generous and staff attentive without hovering.  \n\nThe dining room is small and it's hard to escape the fact that you are dining in a strip-mall location.  If you are looking for a fine dining experience, this is not the place.  If you are looking for excellent food and service in a friendly environment, I encourage you to go to Savor.  You may see me there as it is now on my favorites list for Charlotte.","positive","restaurants"
"restaurants Really enjoyed our visit to this museum. Got a really good better than 2 for one Groupon deal, which was a nice score. I strongly recommend allowing for at least 4 hours to take in the entire experience, as three hours for our visit was not near enough to experience all that the museum offers. There are some nice surprise exhibits that give you a full on atomic experience, but I won't elaborate so as not to spoil the adventure! \n\nThey give you a special badge for the area 51 exhibit, which makes a nice keepsake, however, I found the area 51 exhibit to be amateurish and disappointing. \n\nThe rest of the museum was great, so therefore,  I highly recommend a visit to this very unique museum, you will not be disappointed.","positive","restaurants"
"restaurants Now reopen and beautiful.  Come in and check it out.","positive","restaurants"
"tweets Terry Collins said he asked David Wright to come out 5 times tonight. Wright declined. Will play Friday. Guessing off Saturday vs. righty.","neutral","tweets"
"tweets CPC polling 3rd. Hate polls but I want to believe this. As individual CPC candidates come to realize that Harper is drag to them, Distnce?","negative","tweets"
"tweets ""I tried to tell a coworker that I wanted to bring drinks to six flags and she said """" I think we may be stopping by dunkin """"....""","neutral","tweets"
"restaurants Great authentic Thai noodles! I've been a few times now and will definitely return. Yes, the $9 price tag seems like a lot, but not in comparison to other Asian restaurants in the area. You're paying for the convenience, but it's definitely worth it. I've had street noodles 1 and 2 and kee mao, which is basically drunken noodle that I've gotten from many other Thai places. It's delicious but too similar to other dishes I've had and loved before. I'm going back for the street noodles, which are totally new dishes for me. They are sweet and spicy, my favorite combination. The fried chicken was fantastic; it was crispy but moist, tender, and not greasy at all. Definitely my favorite dish so far. My husband got the sukothai and pork buns, which he loved. We're definitely returning for those dishes. \nYes, it is cash only. No, they don't have a phone. Yes, you can get takeout. Just show up and order. Dishes are made fresh and only take about 5 minutes to prepare. Our server told us that cash only and no phone were meant to keep costs down, especially important in such a high rent area. \n\nOverall, I definitely recommend visiting. I didn't care for the last two Thai places in this location, mostly due to the mediocre food and high cost (much more so than noodlehead). Noodlehead's opening was a pleasant surprise, and I can't wait to visit again.","positive","restaurants"
"restaurants Hit it at rush hour but the wait want that bad!  This was our first time to here and we were both impressed.  Definetly better than the place with the arches!  Now I'm going to have to keep an eye out for this chain as we travel.","positive","restaurants"
"tweets Pleasure: sipping an IPA in the evening sun doing the IT xword while listening to Grateful Dead","positive","tweets"
"movies the movie is loaded with good intentions , but in his zeal to squeeze the action and our emotions into the all-too-familiar dramatic arc of the holocaust escape story , minac drains his movie of all individuality .","negative","movies"
"movies the evocative imagery and gentle , lapping rhythms of this film are infectious -- it gets under our skin and draws us in long before the plot kicks into gear .","positive","movies"
"tweets ""La Liga: Betis march on, Malaga held to draw: Real Betis moved up to fourth in the table af...","neutral","tweets"
"tweets @user I hope he's ready for Brock Lesnar on Sunday.","positive","tweets"
"tweets HEY SLACKERS! Tomorrow is the LAST DAY to register to VOTE---->","neutral","tweets"
"tweets kanye west may be the only soul i value more than my own","positive","tweets"
"tweets Wow, Federer wastes 3 bps with 3 Isner's 2nd serves. Fed 0/8 on bps tonight","positive","tweets"
"tweets @user @user Four Lions is on Sunday night @ 9pm on @user Make sure you watch it boys. (Eid Mubarck Imran) #veryfunnyfilm","positive","tweets"
"tweets Coffee so strong it could stop a runaway NY train using pure grit if Doc Oc disabled the brakes &amp; OMG I THINK MY COFFEE MAY BE SPIDERMAN!","positive","tweets"
"tweets @user I would vote for David Miliband if there was an election tomorrow and he was the Labour leader - move over Ed! @user","neutral","tweets"
"tweets @user Can I please have a follow, I need someone to obsess with over AHS by Wednesday""","neutral","tweets"
"movies a confluence of kiddie entertainment , sophisticated wit and symbolic graphic design .","positive","movies"
"tweets Arm hurts like crazy Open house tomorrow and Church tonight!!!! I love them so much <3","positive","tweets"
"movies douglas mcgrath 's nicholas nickleby does dickens as it should be done cinematically .","positive","movies"
"tweets The Hustlevania video is going up on WorldStarHipHop on Sunday but u can check it out before that tomorrow  #Halloween #horrorsquad #BayArea","neutral","tweets"
"movies piercingly affecting ... while clearly a manipulative film , emerges as powerful rather than cloying .","positive","movies"
"movies fulford-wierzbicki ... deftly captures the wise-beyond-her-years teen .","positive","movies"
"restaurants Ever since my freshman year of college I have driven past this place literally hundreds of times and never gone inside.  It wasn't until my junior year that I went with a few friends to have a drink at this quaint littler tavern, and oh my God was I surprised.\n\nOn the outside it seems like a sleepy little pub on the outskirts of London, but on the inside is anything but.  The Establishment is divided into two main sections: a dining room and the bar area.  My friends and I decided to get a bit to eat first and participate in drunken debauchery afterword (Just Kidding (*Wink)).  \n\nThe dining room had the best of both worlds; the look and feel of an authentic British pub, with four huge Widescreen TVs on each corner of the room, blaring out endless sports center highlights from the day.  The waitresses were dressed in skimpy little outfits and actually knew some of the girls on a personal level from school.  The service was great, but not excellent.  They were very nice to me and my buddies, probably because we were friends, but the service could improve if the hosts and waitresses would treat the other patron with the same level of costumer service.\n\nThe best part about his restaurant was the food.  I had Fish and Chips and I have to say that they were the best damn Fish and Chips I have ever had period.  I have been      here many time since then and I swear the food gets better every time.  They also have a huge selection of assorted British beers which I have to admit is pretty damn awesome.  Th food is great, the beer is great, the atmosphere is great, the girls are great, what more could you ask for in a bar?  I rest my case, Go to Crown and Anchor now!","positive","restaurants"
"restaurants I've gone to both locations in Scottsdale and they both have their own pleasant chill atmosphere. I like the North Scottsdale location a little more because it's more open and less stuffy. Lunch specials are a good deal. \n\nI've tried a few items, but I generally get the beef tacos. The taco comes out really hot because it's fried, the taco is a little drippy with grease, but it's quite good. They get a an extra kudos from me for carrying RC Cola on tap. This place is middle of the road Mexican and you'll feel a little bloated after you eat there, but still pretty good overall.","neutral","restaurants"
"tweets ""Roman got Bray Wyatt hard on Monday. Tonight, he teams with Dean Ambrose to face Sheamus and Big Show. #SmackDown""","neutral","tweets"
"tweets Its the 13th!  Happy Swift Day!!! :)","positive","tweets"
"tweets ""Can honestly care less about gay ass Northglenn, let alone the game tomorrow. It's the people I'm going for. #NorthglennSucksMassiveCock""","negative","tweets"
"movies the documentary is much too conventional -- lots of boring talking heads , etc. -- to do the subject matter justice .","negative","movies"
"movies so purely enjoyable that you might not even notice it 's a fairly straightforward remake of hollywood comedies such as father of the bride .","positive","movies"
"restaurants Best burgers in phoenix.  Fries are very good as well.","positive","restaurants"
"tweets Interesting Sunday read on the rise, fall and rebirth of Google+.","positive","tweets"
"movies warmed-over hash .","neutral","movies"
"tweets @user might have been. I guess we will see tomorrow. How about Seth Rollins tho? Amazing match. Gets better and better!","positive","tweets"
"tweets ATTENTION....my good buddy ole pal @user is looking for someone to go with him to see Snoop Dogg tomorrow night...please inquire ASAP","positive","tweets"
"tweets Hahahahaha!!! I don't think he has to worry about turning into Batman, as much as he may have to worry about...","neutral","tweets"
"tweets ""Up front Kawaguchi, Sukuraman, and Kane will be inserted in the line-up tomorrow night""","neutral","tweets"
"tweets DTN Bangladesh: BPL issues to be decided Nov 1: Bangladesh Cricket Board will take a final decision on the Bangl...","neutral","tweets"
"tweets Aug 27 (Reuters) - Apple Inc, which launched the Apple Watch in June, is within striking distance of leader Fitbit Inc in the wearable","positive","tweets"
